Season,FG%,3P%,FT%,AST,PTS
2008-09,.491,.317,.765,7.5,30.2
2009-10,.476,.300,.761,6.5,26.6
2010-11,.500,.306,.758,4.6,25.5
2011-12,.497,.268,.791,4.6,22.1
2012-13,.521,.258,.725,5.1,21.2
2013-14,.545,.281,.733,4.7,19.0
2014-15,.470,.284,.768,4.8,21.5
