Season,FG%,3P%,FT%,AST,PTS
2008-09,.489,.344,.780,7.2,28.4
2009-10,.503,.333,.767,8.6,29.7
2010-11,.510,.330,.759,7.0,26.7
2011-12,.531,.362,.771,6.2,27.1
2012-13,.565,.406,.753,7.3,26.8
2013-14,.567,.379,.750,6.3,27.1
2014-15,.488,.354,.710,7.4,25.3
