Season,FG%,3P%,FT%,AST,PTS
2008-09,.443,.371,.793,3.4,22.8
2009-10,.458,.316,.830,3.2,28.2
2010-11,.455,.378,.838,2.9,25.6
2011-12,.430,.335,.804,3.6,22.6
2012-13,.449,.379,.830,2.6,28.7
2013-14,.452,.402,.848,3.1,27.4
2014-15,.444,.341,.797,3.1,24.2
