Season,FG%,3P%,FT%,AST,PTS
2008-09,.476,.422,.863,2.8,25.3
2009-10,.476,.365,.900,2.8,30.1
2010-11,.462,.350,.880,2.7,27.7
2011-12,.496,.387,.860,3.5,28.0
2012-13,.510,.416,.905,4.6,28.1
2013-14,.503,.391,.873,5.5,32.0
2014-15,.510,.403,.854,4.1,25.4
