Season,FG%,3P%,FT%,AST,PTS
2008-09,.479,.359,.890,2.4,25.9
2009-10,.481,.421,.915,2.7,25.0
2010-11,.517,.393,.892,2.6,23.0
2011-12,.457,.368,.896,2.2,21.6
2012-13,.471,.414,.860,2.5,17.3
2013-14,.497,.398,.899,2.7,21.7
2014-15,.459,.380,.882,1.9,17.3
