Season,FG%,3P%,FT%,AST,PTS
2008-09,.467,.351,.856,4.9,26.8
2009-10,.456,.329,.811,5.0,27.0
2010-11,.451,.323,.828,4.7,25.3
2011-12,.430,.303,.845,4.6,27.9
2012-13,.463,.324,.839,6.0,27.3
2013-14,.425,.188,.857,6.3,13.8
2014-15,.373,.293,.813,5.6,22.3
