Season,FG%,3P%,FT%,AST,PTS
2008-09,.504,.000,.692,3.5,19.3
2009-10,.518,.182,.725,3.2,17.9
2010-11,.500,.000,.716,2.7,13.4
2011-12,.492,.000,.695,2.3,15.4
2012-13,.502,.286,.817,2.7,17.8
2013-14,.490,.000,.731,3.0,15.1
2014-15,.512,.286,.740,3.0,13.9
