Season,FG%,3P%,FT%,AST,PTS
2008-09,.503,.364,.868,11.0,22.8
2009-10,.493,.409,.847,10.7,18.7
2010-11,.463,.388,.878,9.8,15.9
2011-12,.478,.371,.861,9.1,19.8
2012-13,.481,.328,.885,9.7,16.9
2013-14,.467,.368,.855,10.7,19.1
2014-15,.485,.398,.900,10.2,19.1
