Season,FG%,3P%,FT%,AST,PTS
2008-09,.459,.105,.789,1.0,11.1
2009-10,.450,.330,.815,2.3,14.0
2010-11,.470,.417,.850,2.5,20.2
2011-12,.448,.372,.824,2.0,26.0
2012-13,.352,.217,.704,2.3,18.3
2013-14,.457,.376,.821,4.4,26.1
2014-15,.434,.367,.804,2.2,16.4
